Filename,Subject,Gender,Vowel,Word,F0,F1_10,F1_20,F1_30,F1_40,F1_50,F1_60,F1_70,F1_80,F1_90,F2_10,F2_20,F2_30,F2_40,F2_50,F2_60,F2_70,F2_80,F2_90,F3_10,F3_20,F3_30,F3_40,F3_50,F3_60,F3_70,F3_80,F3_90,F4,Duration
e_subj78_m_seque_180,subj78,m,e,seque,160.16914092612097,507.4175238173528,520.3569055541593,522.9344022205952,526.9311296836772,528.5352876374717,531.2514071264283,532.3974464447274,526.9384877968959,503.6265926772032,1693.854565335217,1715.3555110550062,1734.267153561372,1749.2225993610775,1752.619407529003,1759.1346962168798,1769.6475599282292,1773.9848731677962,1775.747618403375,2767.7458312224207,2745.796965048168,2732.283489038187,2709.1375529683464,2691.3029085345497,2673.3202251453786,2649.828141858831,2631.0412854758347,2618.549299142948,3835.045408041295,0.09985585349962775
o_subj49_f_toque_111,subj49,f,o,toque,211.720146987964,573.7227508117195,566.6029775954873,552.8568353854613,533.0164777902994,527.9479307843842,521.2317206633384,488.969067458982,463.5688574528556,409.32153781275093,1280.9561683075972,1269.0260140290516,1263.0646942599699,1253.5235091873365,1251.7491405340431,1250.805737805166,1239.225073443345,1224.4681174098234,1187.013466184283,3128.4593731010227,3112.8913768271054,3114.498998009879,3163.86103490998,3222.477607019317,3270.1973313185817,3266.6030313857145,3230.9233075923657,3145.183977133534,3817.100731504303,0.07919922525665299
e_subj41_f_seca_102,subj41,f,e,seca,194.9424321838692,574.2123052965206,580.8227886416091,584.8312770399634,585.1166892084583,583.9141790228902,576.1998706108391,568.4140465052064,559.6725300165741,549.1188372076014,1816.7666755098078,1835.6259709860517,1878.1683747941604,1918.2663591203689,1932.220556964896,1939.4118142276911,1944.553964773211,1949.1433469807182,1957.5514208680634,2641.7797187121296,2640.7522021333884,2659.9234539962126,2684.107482053132,2691.37321762246,2701.3856825448356,2690.119838876687,2649.6290655078496,2645.0211171490796,4124.000124845971,0.0933401939338637
u_subj64_m_cura_236,subj64,m,u,cura,136.07218714429763,363.851327791025,349.7477371896685,350.354159540748,352.38798068331846,343.45280110510635,336.82098661183574,346.0498159134989,344.50220495596136,356.35189917203166,685.6644689852724,674.0423297426661,679.7013869191137,679.1440657097705,681.6628891114519,687.1898599910229,696.8489701201968,711.1250315902015,745.2335582378897,2208.144203987801,2237.8429338808587,2251.313951001377,2274.2191824047,2295.044536365717,2330.404611262397,2333.291518363045,2366.968003623409,2344.014429847114,2990.4634600798286,0.1367879005835789
a_subj36_f_baso_279,subj36,f,a,baso,249.20352130541488,803.4283637651381,837.7137716682215,858.1834898678038,858.6802627606955,863.409918279089,848.2849343602032,830.8191498007759,796.2048549882297,753.0958891652976,1417.727285579462,1438.9118605871286,1432.9502967779895,1447.4498531579968,1494.1525944864816,1521.7599617424714,1560.0859437156694,1642.5520764641287,1716.0028142069855,2788.020969044872,2846.565511268408,2758.6430712809083,2741.418892187085,2794.116237347167,2800.6041308820086,2797.7610777697614,2820.339886534727,2896.3316377726146,4441.086775493277,0.19342263227852075
i_subj19_f_pite_162,subj19,f,i,pite,194.32828263825186,380.8684601223999,376.5714290614195,373.83129970438335,371.6582952057846,370.30437368201257,369.052473816387,366.8548047290547,360.3587373217263,342.55456953918207,2606.730680780954,2608.4993353047994,2607.871271015448,2625.959966821504,2647.339354613073,2636.669268062492,2612.558759077218,2590.9531047565283,2587.185088259614,3259.154136696131,3256.850954195128,3277.3017296425323,3333.0802921672307,3366.5268431300638,3352.769402885792,3312.0488961029923,3258.387500512872,3262.8544340854946,4270.379536355156,0.13193046504459857
i_subj47_f_pite_197,subj47,f,i,pite,244.54870233273564,438.9406198614928,433.6168044881728,421.51781009250027,420.0263868139096,415.28043778364685,407.41238292875147,399.64088137669927,392.0700771030447,381.6590690087444,2489.49409996079,2529.7439308443063,2578.9383909100675,2617.3409844177463,2659.421915975191,2643.11967916892,2627.6646210753775,2525.187787596564,2482.566883915415,2887.6037959728055,2918.1194804917113,2936.2187070561263,2945.6302905190396,2958.6750884037824,2986.9054990362088,3015.16603529134,3029.6757661351066,3043.4641311774403,,0.09576386406063761
i_subj33_f_pica_84,subj33,f,i,pica,219.2044646817401,394.2803383991633,409.4921629618768,415.831056920711,414.3277434877134,410.3437607436088,392.1874723846173,394.51210930711727,384.7623805817154,381.1706622395882,2466.090793008081,2505.6991657916533,2532.0189147159053,2470.35990972396,2470.0038541699705,2487.7999483017725,2534.0507273700837,2534.6734317684845,2604.232230209772,2948.929777662765,2960.4240870353033,2947.5083433994696,3011.788281616528,2977.0429971947797,3008.628537891775,2969.4497484485373,2891.375352134606,2902.9124519962247,4060.641902064421,0.12245227098611053
u_subj6_f_cuco_243,subj6,f,u,cuco,208.87409443046516,415.1596512533205,415.2160623181497,412.1587000996731,410.92930266557624,408.5489361229953,403.3158318799295,394.95470720365745,384.7667854196271,362.3014442934749,1070.410402776628,1071.0517022827703,1056.2930002519474,1046.719652029747,1043.0614683360266,1032.946448859911,1006.554231973772,988.5138908480739,984.3161487579109,2944.3610886593738,2807.0731670324385,2667.315723303404,2809.5173671924445,2772.8908549842185,2794.568817398606,2871.7705883812914,2888.314162660891,2687.646913585193,4007.9386581220047,0.15377938830843052
o_subj43_f_voto_277,subj43,f,o,voto,226.3413794954416,483.6204263995252,513.1581483638957,536.175786294343,541.0481983070429,525.3732363802073,517.3798543040064,516.2694712687395,508.0762968668865,484.6365989074102,918.0069015455701,929.5908550444656,963.403249976113,1033.7469948922655,1098.1618119036532,1145.4314345338055,1176.6975197825614,1225.1582055753872,1343.6720518712625,3202.380858190134,3317.479041986577,3346.539002354451,3347.0066308427126,3302.338098356698,3296.170423388163,3324.325226577545,3397.7990973860747,3385.3016406852107,3930.7565338875124,0.14864689706674883
